elephant_shark	AAVX02040487.1	8247	55255
elephant_shark	AAVX02040794.1	33939	35586
elephant_shark	AAVX02041088.1	27991	33482
elephant_shark	AAVX02041197.1	6727	31394
elephant_shark	AAVX02041304.1	19353	44422
elephant_shark	AAVX02041330.1	17139	29260
elephant_shark	AAVX02041521.1	36638	40616
elephant_shark	AAVX02041530.1	2424	25283
elephant_shark	AAVX02041618.1	1300	19172
elephant_shark	AAVX02041653.1	21446	25479
elephant_shark	AAVX02041894.1	12477	30481
elephant_shark	AAVX02042055.1	11598	12193
elephant_shark	AAVX02042085.1	3004	17279
elephant_shark	AAVX02042219.1	7071	25659
elephant_shark	AAVX02042325.1	3809	22673
elephant_shark	AAVX02042342.1	12081	14571
elephant_shark	AAVX02042556.1	1007	21320
elephant_shark	AAVX02042591.1	21	8053
elephant_shark	AAVX02042618.1	5067	5506
elephant_shark	AAVX02042641.1	434	21860
elephant_shark	AAVX02042663.1	16620	18236
elephant_shark	AAVX02042717.1	1078	13197
elephant_shark	AAVX02042750.1	6973	8265
elephant_shark	AAVX02042766.1	21	21183
elephant_shark	AAVX02042819.1	18871	19417
elephant_shark	AAVX02042820.1	3204	18741
elephant_shark	AAVX02042828.1	3179	4633
elephant_shark	AAVX02042831.1	17071	18934
elephant_shark	AAVX02042848.1	5459	6811
elephant_shark	AAVX02042853.1	3824	13538
elephant_shark	AAVX02042862.1	3137	20296
elephant_shark	AAVX02042869.1	2063	12194
elephant_shark	AAVX02042904.1	2354	18889
elephant_shark	AAVX02043014.1	678	19513
elephant_shark	AAVX02043040.1	21	2699
elephant_shark	AAVX02043054.1	938	16872
elephant_shark	AAVX02043085.1	17572	19237
elephant_shark	AAVX02043171.1	4614	16132
